customer_id,first_name,last_name,email,phone,address,city
1,Darren,Ford,webbhenry@gmail.com,1314960810,"01 Williamson courts
Bowenstad
TW3 3NX",North Cameronstad
2,Dennis,Howarth,raymondjones@hill.net,+44(0)1144960919,"19 Allen mount
East Stephaniefort
M9 7FE",South Brianhaven
3,Eileen,Bates,andrew14@gmail.com,(0113) 496 0701,"1 Scott route
Whiteside
GL5N 4FF",South Victorhaven
4,Abdul,Ball,smithcarly@yahoo.co.uk,+44131 4960218,"00 O'Brien forest
Juliaside
DT01 2PL",Marshallchester
5,Catherine,Ward,rmartin@hotmail.co.uk,(0191) 4960983,"Studio 46
Natalie flat
Abbottshire
TQ5 3HP",South Callum
6,Phillip,Ryan,cartwrightjodie@harrison-brady.com,+44(0)141 496 0334,"Studio 45
Joshua points
South Julian
WR2 8WZ",Butlerberg
7,Zoe,Martin,perkinskelly@marsh-brooks.com,+44116 496 0600,"0 Sharon islands
South Donaldton
BT0 1EL",New Bradleyberg
8,Maureen,Edwards,pellis@lewis.com,4.41315E+11,"Studio 25R
Bruce curve
Natashaburgh
PH6 2JL",Adrianmouth
9,Iain,Chamberlain,cheryl43@yahoo.co.uk,0113 496 0310,"87 Debra fort
Jordanton
G1E 3QZ",Normanport
10,Jane,Duffy,reecepearce@yahoo.co.uk,(0808) 157 0453,"1 Humphries place
New Jake
SP7R 4FJ",West Jacquelinemouth
11,Sian,Phillips,tracey24@atkinson.com,+44(0)1134960551,"Studio 61m
Harris mountains
Albertville
M53 5DH",Jaynemouth
12,Claire,Jones,chelseakhan@yahoo.com,4.41175E+11,"Studio 27s
Stanley crest
South Carolynborough
N29 7RJ",Mitchellshire
13,Jonathan,Perkins,douglasrachael@outlook.com,(0306) 999 0555,"Flat 17X
Mitchell club
Grahamfurt
HX5 6BS",Katestad
14,Dean,Rowley,robinsonlisa@yahoo.com,(0121)4960046,"148 Harrison flats
Dawsonstad
HS3P 5RS",Charlesport
15,Jacob,Wilkinson,kirsty01@turner-hughes.com,+44808 1570990,"Studio 2
Ali oval
East Carolberg
RH5 9BN",West Leahburgh
16,Gail,Evans,chelseajones@yahoo.com,4.41175E+11,"60 Dawson mission
Andrewland
ZE27 3YE",Katherineberg
17,Matthew,Wyatt,tony99@sanderson.com,(020) 7496 0283,"Flat 95
Beverley forge
South Valerie
E1H 2RB",New Laurenfort
18,Stephen,Andrews,dennis65@thomson.org,+4429 2018 0499,"3 Lynn plaza
New Chloe
CA3Y 6TE",Hughview
